Time,CPU
19:38:59,88.6
19:39:00,62.3
19:39:01,60.6
19:39:02,55.8
19:39:03,67.2
19:39:04,57.4
19:39:05,70.8
19:39:06,55.4
19:39:07,56
19:39:08,59.1
19:39:09,60.2
19:39:10,74.4
19:39:11,71.8
19:39:12,55.1
19:39:13,44.4
19:39:14,52
19:39:15,52.7
19:39:16,65.9
19:39:17,38.9
19:39:18,28
19:39:19,26.5
19:39:20,29.2
19:39:21,28.7
19:39:22,67.2
19:39:23,56.4
19:39:24,52.9
19:39:25,54.3
19:39:26,34
19:39:27,27.3
19:39:28,45
19:39:29,27.3
19:39:30,32.4
19:39:31,27.2
19:39:32,28.4
19:39:33,28
19:39:34,45.3
19:39:35,27.6
19:39:36,27.5
19:39:37,32.7
19:39:38,27.9
19:39:39,35
19:39:40,41.5
19:39:41,27
19:39:42,52
19:39:43,52
19:39:44,52.3
19:39:45,65
19:39:46,56.5
19:39:47,29.5
19:39:48,58.4
19:39:49,28.4
19:39:50,39.7
19:39:51,34.6
19:39:52,21.9
19:39:53,10.9
19:39:54,9.6
19:39:55,12.3
19:39:56,11.2
19:39:57,26.6
19:39:58,17.4
19:39:59,10.8
19:40:00,14.8
19:40:01,12.2
19:40:02,14.2
19:40:03,26.2
19:40:04,13.6
19:40:05,14.6
19:40:06,11.5
19:40:07,13.6
19:40:08,13.6
19:40:09,26.8
19:40:10,14.7
19:40:11,13.5
19:40:12,13.7
19:40:13,16
19:40:14,10
19:40:15,27.4
19:40:16,14.6
19:40:17,14.2
19:40:18,19.4
19:40:19,42
19:40:20,34.3
19:40:21,52.9
19:40:22,45
19:40:23,32.4
19:40:24,30.1
19:40:25,27.6
19:40:26,11.3
19:40:27,30.2
19:40:28,16.7
19:40:29,22
19:40:30,27.8
19:40:31,10.5
19:40:32,13.5
19:40:33,27.5
19:40:34,11.5
19:40:35,20.8
19:40:36,7.4
19:40:37,10.1
19:40:38,12.1
19:40:39,30.4
19:40:40,12.1
19:40:41,9
19:40:42,12.4
19:40:43,9.4
19:40:44,11.5
19:40:45,28.9
19:40:46,17.9
19:40:47,9.8
19:40:48,41.9
19:40:49,11.7
19:40:50,10.9
19:40:51,27
19:40:52,15.2
19:40:53,8.2
19:40:54,7.4
19:40:55,10.9
19:40:56,10.2
19:40:57,23.8
19:40:58,14.4
19:40:59,7.8
19:41:00,15.5
19:41:01,10.1
19:41:02,10.5
19:41:03,33.6
19:41:04,30.2
19:41:05,17.9
19:41:06,48.6
19:41:07,50.8
19:41:08,57.8
19:41:09,64.8
19:41:10,56.9
19:41:11,53.5
19:41:12,54.3
19:41:13,52.3
19:41:14,54.2
19:41:15,69.9
19:41:16,53.9
19:41:17,57
19:41:18,53.1
19:41:19,52.1
19:41:20,57.1
19:41:21,48.5
19:41:22,53.1
19:41:23,55.8
19:41:24,64
19:41:25,48.1
19:41:26,40.9
19:41:27,33.5
19:41:28,26.2
19:41:29,27.3
19:41:30,34
19:41:31,29.8
19:41:32,49.6
19:41:33,28.9
19:41:34,29.1
19:41:35,29.7
19:41:36,40.6
19:41:37,38.3
19:41:38,59.8
19:41:39,42
19:41:40,31.4
19:41:41,40.2
19:41:42,33.3
19:41:43,40.7
19:41:44,51.7
19:41:45,54.8
19:41:46,41.4
19:41:47,34.4
19:41:48,32.4
19:41:49,66.7
19:41:50,65.6
19:41:51,45.1
19:41:52,34.2
19:41:53,32.2
19:41:54,34.9
19:41:55,42.5
19:41:56,41.9
19:41:57,42.5
19:41:59,48.4
19:42:00,38.4
19:42:01,48.5
19:42:02,54.2
19:42:03,37.8
19:42:04,31.9
19:42:05,46.5
19:42:06,51.2
19:42:07,59.7
19:42:08,77.2
19:42:09,58.7
19:42:10,67.5
19:42:11,72.7
19:42:12,52.5
19:42:13,37.6
19:42:14,47.7
19:42:15,42.5
19:42:16,36
19:42:17,29.1
19:42:18,49.6
19:42:19,51.1
19:42:20,41.5
19:42:21,32.3
19:42:22,41.1
19:42:23,59.3
19:42:24,57.7
19:42:25,72.4
19:42:26,63.5
19:42:27,31.8
19:42:28,28.1
19:42:29,30.1
19:42:30,29.1
19:42:31,54.2
19:42:32,28.4
19:42:33,35.3
19:42:34,40.1
19:42:35,54.9
19:42:36,55.2
19:42:37,75.9
19:42:38,53.9
19:42:39,53.8
19:42:40,54.4
19:42:41,52.5
19:42:42,30.5
19:42:43,49.2
19:42:44,37.6
19:42:45,30.7
19:42:46,53.8
19:42:47,48.9
19:42:48,33
19:42:49,24.4
19:42:50,44.8
19:42:51,16.5
19:42:52,17.6
19:42:53,43.1
19:42:54,49.4
19:42:55,34.6
19:42:56,14.3
19:42:57,10.1
19:42:58,12.8
19:42:59,12.1
19:43:00,24
